"coursera_id","zip_code","age_group","what_is_your_gender","what_is_your_ethnicity_and_or_race_please_select_all_that_apply","what_pronouns_do_you_use","employment_status","what_is_you_approximate_monthly_income","which_certificate_s_are_you_most_interested_in","after_completion_of_the_course_which_wrap_around_supports_will_you_need","are_you_able_to_commit_10_15_hours_per_week_for_this_training","your_google_scholarship_gives_you_6_months_to_complete_your_certification_s_are_you_willing_to_commit_to_the_successful_completion_of_your_certification_s_within_this_time_constraint","this_training_is_online_please_rate_your_personal_computer_skills","are_you_a_veteran_of_the_united_states_armed_forces"
"fbe43f1b3242425ef6e41412b821f959","30240","25-34","""Female""","""Black or African American""","""She/her""","Full-time","2000","""Data Analytics, Project Management, Cybersecurity, IT Support""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Information about other training programs""","Yes","Yes",NA,NA
"d239e181071f814684e6ee3fb3eb8d7d","30240","25-34","""Female""","""Black or African American""","""She/her""",NA,"0","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs""","Yes","Yes",NA,NA
"a5a92100f2aa6d957f1f336a3529bba4","36276","18-24","""Female""","""White / Caucasian""","""She/her""","Full-time","2360","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing""","Yes","Yes",NA,NA
"3b248d45ce5fc07320d30ce61cadcfbb","36066","18-24","""Female""","""White / Caucasian""","""She/her""",NA,"0","""Data Analytics, Project Management""","""Referrals to job opportunities""","Yes","Yes",NA,NA
"4b8047114d39af5ac8c816e679e9785a","49617","45-54","""Male""","""White / Caucasian""","""He/his""",NA,"1500","""Data Analytics, Project Management, Cybersecurity""","""No, I don't need additional services""","Yes","Yes",NA,NA
"6f70c99a6ab18607b7f657c9e4c6100b",NA,"25-34","""Female""","""White / Caucasian""","""She/her""",NA,"369","""Cybersecurity, IT Support""","""Referrals to job opportunities, Job seeking skills training, Information about other training programs""","Yes","Yes",NA,NA
"d087aa2d82bf5156b592d74fdeb0f600","49684","25-34","""Male""","""White / Caucasian""","""He/his""","Full-time","8000","""Data Analytics, Project Management""","""Information about other training programs""","Yes","Yes",NA,NA
"2180a3ea307c6000c67a87a54e2b0f12","36804","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dbd90c56b2f7ad9ad05900fba423076e","49686","35-44","""Female""","""White / Caucasian""","""She/her""","Full-time","5400","""UX (User Experience) Design""","""Information about other training programs""","Yes","Yes",NA,NA
"a0f12eeeca8c2258927aa4e9cedc67c6","49685","35-44","""Male""","""White / Caucasian""","""He/his""",NA,NA,NA,NA,NA,NA,NA,NA
